transaction_date,retailer_code,retailer_name,sku,product_name,quantity,amount
2026-02-06,RT-001,Toko Maju Jaya,BEV-011,Minuman Mango 250ml,48,216000
2026-01-22,RT-001,Toko Maju Jaya,BEV-009,Minuman Isoton 500ml,24,168000
2026-02-10,RT-001,Toko Maju Jaya,BEV-009,Minuman Isoton 500ml,12,84000
2026-01-22,RT-001,Toko Maju Jaya,BEV-005,Jus Apel 200ml,24,120000
2026-02-12,RT-001,Toko Maju Jaya,BEV-005,Jus Apel 200ml,12,60000
2026-01-25,RT-001,Toko Maju Jaya,SNK-012,Snack Jagung 100g,48,216000
2026-02-09,RT-001,Toko Maju Jaya,SNK-012,Snack Jagung 100g,12,54000
2026-02-06,RT-001,Toko Maju Jaya,SNK-005,Permen Mint 50g,6,18000
2026-02-05,RT-001,Toko Maju Jaya,PC-001,Sampo 170ml,12,180000
2026-01-31,RT-001,Toko Maju Jaya,BEV-012,Teh Lemon 330ml,48,216000
2026-02-01,RT-001,Toko Maju Jaya,SNK-010,Permen Buah 50g,12,36000
2026-02-05,RT-001,Toko Maju Jaya,SNK-011,Wafer Stroberi 100g,12,60000
2026-02-07,RT-002,Minimart Sejahtera,BEV-006,Minuman Soda 330ml,12,60000
2026-01-24,RT-002,Minimart Sejahtera,BEV-010,Kopi Susu 200ml,6,48000
2026-02-07,RT-002,Minimart Sejahtera,BEV-010,Kopi Susu 200ml,6,48000
2026-01-31,RT-002,Minimart Sejahtera,DAI-001,Susu Full Cream 1L,12,216000
2026-02-02,RT-002,Minimart Sejahtera,BEV-012,Teh Lemon 330ml,24,108000
2026-01-23,RT-002,Minimart Sejahtera,DAI-007,Yogurt Plain 200g,12,132000
2026-02-06,RT-002,Minimart Sejahtera,DAI-007,Yogurt Plain 200g,6,66000
2026-02-02,RT-002,Minimart Sejahtera,SNK-008,Keripik Tempe 100g,12,66000
2026-02-02,RT-002,Minimart Sejahtera,SNK-003,Keripik Singkong 250g,48,336000
2026-01-28,RT-002,Minimart Sejahtera,BEV-001,Minuman Jeruk 250ml,48,192000
2026-02-11,RT-002,Minimart Sejahtera,BEV-001,Minuman Jeruk 250ml,24,96000
2026-01-28,RT-003,Warung Berkah,BEV-009,Minuman Isoton 500ml,24,168000
2026-02-09,RT-003,Warung Berkah,DAI-003,Yogurt Stroberi 150g,12,144000
2026-02-02,RT-003,Warung Berkah,DAI-004,Keju Slice 100g,6,90000
2026-01-22,RT-003,Warung Berkah,INS-006,Mie Instan Seafood 85g,48,192000
2026-02-11,RT-003,Warung Berkah,INS-006,Mie Instan Seafood 85g,24,96000
2026-02-05,RT-003,Warung Berkah,SNK-011,Wafer Stroberi 100g,24,120000
2026-02-09,RT-003,Warung Berkah,BEV-008,Air Mineral 1500ml,48,240000
2026-01-27,RT-003,Warung Berkah,INS-007,Sup Instan 30g,48,192000
2026-02-05,RT-003,Warung Berkah,SNK-013,Biskuit Soda 200g,48,360000
2026-02-10,RT-003,Warung Berkah,DAI-008,Susu UHT 200ml,24,120000
2026-01-26,RT-003,Warung Berkah,SNK-002,Biskuit Susu 200g,12,102000
2026-02-07,RT-003,Warung Berkah,SNK-002,Biskuit Susu 200g,48,408000
2026-01-30,RT-004,Toko Harapan,INS-004,Nasi Instan 150g,12,144000
2026-02-13,RT-004,Toko Harapan,INS-004,Nasi Instan 150g,24,288000
2026-01-30,RT-004,Toko Harapan,BEV-004,Susu Coklat 200ml,24,144000
2026-02-09,RT-004,Toko Harapan,SNK-005,Permen Mint 50g,6,18000
2026-02-10,RT-004,Toko Harapan,SNK-006,Wafer Vanilla 100g,6,30000
2026-01-25,RT-004,Toko Harapan,PC-003,Pasta Gigi 120g,12,144000
2026-02-08,RT-004,Toko Harapan,PC-003,Pasta Gigi 120g,6,72000
2026-02-08,RT-004,Toko Harapan,BEV-002,Teh Manis 330ml,6,27000
2026-01-22,RT-004,Toko Harapan,DAI-007,Yogurt Plain 200g,24,264000
2026-02-06,RT-004,Toko Harapan,DAI-007,Yogurt Plain 200g,24,264000
2026-01-31,RT-004,Toko Harapan,PC-005,Pelembab Tangan 50ml,6,108000
2026-01-30,RT-004,Toko Harapan,SNK-012,Snack Jagung 100g,6,27000
2026-02-14,RT-004,Toko Harapan,SNK-012,Snack Jagung 100g,12,54000
2026-02-01,RT-004,Toko Harapan,DAI-004,Keju Slice 100g,12,180000
2026-02-13,RT-004,Toko Harapan,BEV-010,Kopi Susu 200ml,12,96000
2026-01-25,RT-004,Toko Harapan,SNK-002,Biskuit Susu 200g,12,102000
2026-02-14,RT-004,Toko Harapan,SNK-002,Biskuit Susu 200g,48,408000
2026-02-06,RT-005,Kios Sentosa,PC-001,Sampo 170ml,6,90000
2026-02-06,RT-005,Kios Sentosa,SNK-006,Wafer Vanilla 100g,48,240000
2026-01-23,RT-005,Kios Sentosa,DAI-005,Mentega 200g,6,84000
2026-02-08,RT-005,Kios Sentosa,DAI-005,Mentega 200g,6,84000
2026-02-11,RT-005,Kios Sentosa,SNK-001,Wafer Coklat 100g,48,240000
2026-02-07,RT-005,Kios Sentosa,INS-001,Mie Instan Ayam 85g,48,168000
2026-01-31,RT-005,Kios Sentosa,PC-005,Pelembab Tangan 50ml,12,216000
2026-02-03,RT-005,Kios Sentosa,BEV-007,Teh Hijau 250ml,48,216000
2026-01-26,RT-005,Kios Sentosa,INS-010,Bihun Instan 70g,48,144000
2026-02-14,RT-005,Kios Sentosa,INS-010,Bihun Instan 70g,12,36000
2026-01-29,RT-005,Kios Sentosa,INS-004,Nasi Instan 150g,12,144000
2026-02-14,RT-005,Kios Sentosa,INS-004,Nasi Instan 150g,12,144000
2026-01-26,RT-005,Kios Sentosa,SNK-014,Keripik Pisang 200g,12,96000
2026-02-11,RT-005,Kios Sentosa,SNK-014,Keripik Pisang 200g,24,192000
2026-01-31,RT-005,Kios Sentosa,INS-003,Mie Instan Goreng 85g,48,168000
2026-02-03,RT-006,Toko Mandiri,SNK-014,Keripik Pisang 200g,24,192000
2026-01-22,RT-006,Toko Mandiri,BEV-003,Air Mineral 600ml,12,36000
2026-02-10,RT-006,Toko Mandiri,BEV-003,Air Mineral 600ml,24,72000
2026-02-05,RT-006,Toko Mandiri,SNK-006,Wafer Vanilla 100g,24,120000
2026-01-25,RT-006,Toko Mandiri,BEV-002,Teh Manis 330ml,24,108000
2026-02-10,RT-006,Toko Mandiri,BEV-002,Teh Manis 330ml,12,54000
2026-01-23,RT-006,Toko Mandiri,SNK-013,Biskuit Soda 200g,24,180000
2026-02-12,RT-006,Toko Mandiri,SNK-013,Biskuit Soda 200g,48,360000
2026-01-24,RT-006,Toko Mandiri,SNK-005,Permen Mint 50g,12,36000
2026-02-14,RT-006,Toko Mandiri,SNK-005,Permen Mint 50g,48,144000
2026-02-05,RT-006,Toko Mandiri,BEV-010,Kopi Susu 200ml,6,48000
2026-01-31,RT-006,Toko Mandiri,SNK-004,Kacang Goreng 150g,48,288000
2026-02-05,RT-006,Toko Mandiri,SNK-015,Mochi Kacang 100g,12,84000
2026-01-22,RT-006,Toko Mandiri,SNK-007,Biskuit Keju 200g,6,54000
2026-02-08,RT-006,Toko Mandiri,SNK-007,Biskuit Keju 200g,12,108000
2026-01-29,RT-007,Warung Barokah,BEV-010,Kopi Susu 200ml,48,384000
2026-01-29,RT-007,Warung Barokah,BEV-004,Susu Coklat 200ml,12,72000
2026-02-12,RT-007,Warung Barokah,BEV-004,Susu Coklat 200ml,12,72000
2026-01-29,RT-007,Warung Barokah,SNK-013,Biskuit Soda 200g,12,90000
2026-02-12,RT-007,Warung Barokah,SNK-013,Biskuit Soda 200g,24,180000
2026-01-30,RT-007,Warung Barokah,DAI-007,Yogurt Plain 200g,12,132000
2026-02-15,RT-007,Warung Barokah,DAI-007,Yogurt Plain 200g,12,132000
2026-01-23,RT-007,Warung Barokah,BEV-003,Air Mineral 600ml,48,144000
2026-02-07,RT-007,Warung Barokah,BEV-003,Air Mineral 600ml,12,36000
2026-01-30,RT-007,Warung Barokah,PC-004,Sabun Cuci 800g,12,264000
2026-02-08,RT-007,Warung Barokah,DAI-006,Susu Kental Manis 370g,24,312000
2026-01-30,RT-007,Warung Barokah,SNK-015,Mochi Kacang 100g,48,336000
2026-01-31,RT-007,Warung Barokah,INS-003,Mie Instan Goreng 85g,24,84000
2026-01-27,RT-007,Warung Barokah,PC-005,Pelembab Tangan 50ml,12,216000
